,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__features__featureextractor__features_names,param_model__probability,param_model__kernel,param_model__C,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3,3.1273776054382325,0.08912210085475077,0.10917625427246094,0.008561088198403293,"['len', 'num_punctuation', 'num_upper']",True,linear,0.1,,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'linear', 'model__C': 0.1}",0.7760479041916167,0.764638346727899,0.7710280373831776,0.7701421800947867,0.7867730900798175,0.7737259116954596,0.0074609115793666195,28
81,3.5940620422363283,0.11528724993001482,0.12435951232910156,0.0026804116885982324,['len'],True,sigmoid,10.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 0.01, 'model__C': 10}",0.783625730994152,0.7612612612612613,0.7690557451649602,0.7563805104408353,0.7896512935883014,0.771994908289902,0.01276466417249304,29
1,3.3010388374328614,0.15853350549105774,0.11641802787780761,0.011062250918912008,['len'],True,linear,0.1,,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'linear', 'model__C': 0.1}",0.783625730994152,0.7612612612612613,0.7690557451649602,0.7563805104408353,0.7896512935883014,0.771994908289902,0.01276466417249304,29
76,5.7217662811279295,0.14648486780497239,0.2505043506622314,0.02015995429714383,['dummy_feature'],True,rbf,10.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 10}",0.7822120866590649,0.7494356659142212,0.759090909090909,0.7756041426927502,0.7328767123287672,0.7598439033371425,0.017803643262760217,31
55,3.5974438190460205,0.07721596619453207,0.1486217498779297,0.015843752202666827,"['len', 'num_punctuation', 'num_upper']",True,rbf,1.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 1}",0.7557160048134778,0.7435897435897436,0.7561837455830389,0.7529691211401425,0.7694090382387022,0.7555735306730209,0.008272944247236333,32
54,3.5761438846588134,0.10676626861954068,0.1395857334136963,0.012605731238916212,"['len', 'num_punctuation']",True,rbf,1.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 1}",0.7569528415961306,0.7435897435897436,0.7502958579881657,0.7479289940828402,0.7649769585253456,0.7527488791564452,0.007487824711495593,33
59,4.182471561431885,0.13309652869383948,0.16228728294372557,0.02509469914826943,"['len', 'num_punctuation', 'num_upper']",True,sigmoid,1.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 0.01, 'model__C': 1}",0.7509113001215066,0.7391812865497076,0.7505938242280285,0.7476190476190476,0.7679814385150812,0.7512573794066743,0.009373619432163364,34
58,4.096521615982056,0.13544355184543325,0.15362272262573243,0.015536595402859848,"['len', 'num_punctuation']",True,sigmoid,1.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 0.01, 'model__C': 1}",0.7548543689320388,0.7389277389277389,0.7464454976303317,0.7440758293838863,0.7632183908045977,0.7495043651357187,0.00857190449591074,35
18,3.561962842941284,0.10090851235425916,0.14975976943969727,0.007016736290037319,"['len', 'num_punctuation']",True,rbf,0.1,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__C': 0.1}",0.7391841779975278,0.7399527186761229,0.7497005988023953,0.748792270531401,0.767962308598351,0.7491184149211596,0.010375323494358777,36
19,3.6717161178588866,0.0677820153898938,0.14644856452941896,0.009305885123472916,"['len', 'num_punctuation', 'num_upper']",True,rbf,0.1,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__C': 0.1}",0.7411042944785277,0.730723606168446,0.7535545023696683,0.7508939213349225,0.76905311778291,0.7490658884268949,0.01282813309423728,37
53,3.622119140625,0.05180535281914886,0.14927096366882325,0.012103224049106773,['len'],True,rbf,1.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 1}",0.7544483985765125,0.7408256880733946,0.7395348837209302,0.7304964539007093,0.7702857142857142,0.7471182277114522,0.013884166268596771,38
57,3.7690244197845457,0.25677144933825824,0.14588584899902343,0.01286325027848885,['len'],True,sigmoid,1.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 0.01, 'model__C': 1}",0.7443519619500595,0.7437070938215103,0.73512252042007,0.734982332155477,0.7722095671981777,0.7460746951090588,0.013671836239661755,39
17,3.5503180980682374,0.0529678596865328,0.14444584846496583,0.00926275311447967,['len'],True,rbf,0.1,scale,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__C': 0.1}",0.7536945812807881,0.7296340023612751,0.7394957983193278,0.7307692307692307,0.7614571092831962,0.7430101444027637,0.012613956362634633,40
29,4.229491472244263,0.07875312702421629,0.16579136848449708,0.01811538449868189,['len'],True,rbf,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 0.1}",0.7453416149068323,0.7242603550295857,0.7376058041112454,0.7277167277167277,0.7553956834532374,0.7380640370435257,0.011411989587222712,41
63,5.214307594299316,0.165688989412607,0.15593128204345702,0.019890759524371648,"['len', 'num_punctuation', 'num_upper']",True,poly,10.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__C': 10}",0.7248677248677249,0.7414012738853503,0.7310704960835509,0.7260812581913499,0.7464607464607464,0.7339762998977445,0.008540880084989624,42
31,4.298864269256592,0.04301217765847241,0.18321695327758789,0.017930189011090395,"['len', 'num_punctuation', 'num_upper']",True,rbf,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 0.1}",0.7293519695044473,0.7225647348951911,0.7288557213930348,0.7355163727959698,0.7415458937198067,0.73156693846169,0.006457151603174346,43
30,4.234338855743408,0.02649006517429406,0.16900310516357422,0.01506548336934877,"['len', 'num_punctuation']",True,rbf,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 0.1}",0.7298335467349552,0.7243510506798516,0.7283950617283951,0.718078381795196,0.7481840193704601,0.7297684120617716,0.010070050031528426,44
